  Namespace                   Name                                                      CPU Requests  CPU Limits   Memory Requests  Memory Limits  Age
  appcenter                   argocd-repo-server-5666f86699-v9xff                         100m (2%)     200m (5%)     256Mi (0%)       500Mi (1%)     538d
  arms-prom                   kube-state-metrics-64ddc688d5-hq6tn                         10m (0%)      500m (12%)    32Mi (0%)        2560Mi (9%)    540d
  arms-prom                   node-exporter-gzp4v                                         112m (2%)     122m (3%)     200Mi (0%)       220Mi (0%)     540d
  cloud-manager               cluster-octopus-5bc7dfc67f-2ch2k                            50m (1%)      1500m (38%)   1Gi (3%)         2Gi (7%)       526d
  cloud-manager               kubectl-proxy-5689875796-swchs                              100m (2%)     300m (7%)     100Mi (0%)       500Mi (1%)     526d
  customer-service            icsapi-55d7444bfd-sk7sv                                     100m (2%)     500m (12%)    200Mi (0%)       1Gi (3%)       39d
  diagnosis-qa                aihub-auth-qa-6c6999d4bc-g4htz                              250m (6%)     500m (12%)    256Mi (0%)       1Gi (3%)       77d
  diagnosis-qa                aihub-mark-pc-qa-56769f76c-zbwrh                            100m (2%)     500m (12%)    128Mi (0%)       256Mi (0%)     60d
  diagnosis-qa                diagn-system-service-qa-74479d4654-r9qsl                    100m (2%)     500m (12%)    256Mi (0%)       1Gi (3%)       42d
  diagnosis-qa                intelligent-assistant-pc-qa-755674c5f7-rg6tp                10m (0%)      100m (2%)     200Mi (0%)       512Mi (1%)     17d
  dt-bdp                      dt-bdp-vdp-ld-web-qa-654c4f89b9-zrkbf                       100m (2%)     500m (12%)    256Mi (0%)       2Gi (7%)       40d
  fluid-system                csi-nodeplugin-fluid-gt5s8                                  0 (0%)        0 (0%)        0 (0%)           0 (0%)         281d
  helm-middleware             imp-mysql-masterslave-dt-diagnosis-qamysql-secondary-0      200m (5%)     2 (51%)       256Mi (0%)       4Gi (14%)      17d
  helm-middleware             imp-redis-masterslave-dt-aigc-alteam-qa-replicas-0          110m (2%)     2500m (64%)   384Mi (1%)       4Gi (14%)      446d
  helm-middleware             imp-redis-masterslave-dt-diagnosis-qaredis-replicas-0       110m (2%)     2500m (64%)   384Mi (1%)       4Gi (14%)      356d
  kube-ai                     ack-commit-agent-pxkzt                                      200m (5%)     200m (5%)     100Mi (0%)       100Mi (0%)     482d
  kube-ai                     ml-pipeline-scheduledworkflow-7b7c77b74-qkftt               100m (2%)     200m (5%)     100Mi (0%)       500Mi (1%)     77d
